#version,serial,flight,time,state,state_name,acceleration,pressure,altitude,height,speed,temperature,drogue_voltage,main_voltage,battery_voltage
6, 10601, 5,    -0.14, 3,   boost,   97.40,  86545.00, 1310.11,   22.39,  231.27, 37.7, 8.02, 9.02, 9.07
6, 10601, 5,    -0.13, 3,   boost,  101.94,  86552.00, 1309.45,   21.73,  233.66, 37.7, 8.02, 9.02, 9.07
6, 10601, 5,    -0.12, 3,   boost,  106.59,  86538.00, 1310.77,   23.05,  236.04, 37.7, 8.02, 9.02, 9.07
6, 10601, 5,    -0.11, 3,   boost,  111.34,  86528.00, 1311.72,   24.00,  238.43, 37.7, 8.02, 9.02, 9.07
6, 10601, 5,    -0.10, 3,   boost,  116.18,  86486.00, 1315.69,   27.97,  240.80, 37.7, 8.02, 9.02, 9.07
6, 10601, 5,    -0.09, 3,   boost,  121.09,  86495.00, 1314.84,   27.12,  243.17, 37.7, 8.02, 9.02, 9.07
6, 10601, 5,    -0.08, 3,   boost,  126.04,  86478.00, 1316.45,   28.73,  245.53, 37.7, 8.02, 9.02, 9.07
6, 10601, 5,    -0.07, 3,   boost,  131.03,  86439.00, 1320.14,   32.42,  247.89, 37.7, 8.00, 9.02, 9.07
6, 10601, 5,    -0.06, 3,   boost,  136.03,  86420.00, 1321.94,   34.22,  250.25, 37.7, 8.02, 9.02, 9.05
6, 10601, 5,    -0.05, 3,   boost,  141.00,  86455.00, 1318.63,   30.91,  252.60, 37.7, 8.02, 9.02, 9.05
6, 10601, 5,    -0.04, 3,   boost,  145.93,  86419.00, 1322.03,   34.31,  254.94, 37.7, 8.02, 9.02, 9.07
6, 10601, 5,    -0.03, 3,   boost,  150.79,  86412.00, 1322.70,   34.98,  257.27, 37.7, 8.02, 9.02, 9.07
6, 10601, 5,    -0.02, 3,   boost,  155.53,  86385.00, 1325.25,   37.53,  259.57, 37.7, 8.02, 9.02, 9.05
6, 10601, 5,    -0.01, 3,   boost,  160.14,  86384.00, 1325.35,   37.63,  261.87, 37.7, 8.02, 9.02, 9.05
6, 10601, 5,     0.00, 3,   boost,  164.57,  86359.00, 1327.72,   40.00,  264.15, 37.7, 8.02, 9.02, 9.05
6, 10601, 5,     0.00, 3,   boost,  164.57,  86359.00, 1327.72,   40.00,  264.15, 37.7, 8.02, 9.02, 9.05
6, 10601, 5,     0.00, 3,   boost,  164.57,  86359.00, 1327.72,   40.00,  264.15, 37.7, 8.02, 9.02, 9.05
6, 10601, 5,     0.00, 3,   boost,  164.57,  86359.00, 1327.72,   40.00,  264.15, 37.7, 8.02, 9.02, 9.05
