# IREC N3300 0_wind (Up to date)
# 1589 data points written for 5 variables.
# Simulation warnings:
#   Body calculations may not be entirely accurate at supersonic speeds.
#   Recovery device deployment at high speed (93.7 ft/s)
#
# Time (s),Altitude (ft),Vertical velocity (ft/s),Total acceleration (ft/s²),Stability margin calibers (​)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,-0.002,-0.313,31.336,NaN
0.02,-0.001,-0.298,29.761,NaN
0.03,-0.001,-0.282,28.185,NaN
0.04,-9.539e-4,-0.191,19.076,NaN
0.05,0.003,0.597,59.744,NaN
0.06,0.017,2.153,155.578,NaN
0.07,0.051,4.667,251.476,NaN
# Event LIFTOFF occurred at t=0.08 seconds
0.08,0.115,8.127,346.087,NaN
0.09,0.216,12.078,395.265,NaN
0.1,0.358,16.3,422.355,NaN
0.11,0.543,20.793,449.485,NaN
0.12,0.775,25.558,476.656,NaN
0.13,1.055,30.553,499.719,NaN
0.14,1.386,35.528,497.8,NaN
0.15,1.766,40.443,491.699,NaN
0.16,2.194,45.298,485.737,NaN
0.17,2.672,50.118,482.204,NaN
0.18,3.197,54.911,479.51,NaN
0.19,3.77,59.677,476.81,NaN
0.2,4.39,64.416,474.105,NaN
0.21,5.058,69.146,473.155,NaN
0.22,5.773,73.884,473.967,NaN
0.23,6.536,78.629,474.78,NaN
0.24,7.346,83.383,475.592,NaN
0.25,8.203,88.145,476.405,NaN
0.26,9.109,92.916,477.217,NaN
0.27,10.062,97.694,478.03,NaN
0.28,11.062,102.48,478.842,NaN
0.29,12.111,107.275,479.655,NaN
0.3,13.208,112.078,480.467,NaN
0.31,14.353,116.888,481.28,NaN
0.32,15.546,121.707,482.092,NaN
0.33,16.787,126.534,482.905,NaN
# Event LAUNCHROD occurred at t=0.34 seconds
0.34,18.077,131.37,483.717,NaN
0.355,20.102,138.637,484.832,1.952
0.378,23.344,149.573,486.503,1.967
0.411,28.67,166.053,489.008,1.988
0.461,37.586,190.617,492.281,2.02
0.511,47.734,215.326,495.173,2.051
0.561,59.122,240.18,498.044,2.082
0.611,71.755,265.176,500.901,2.113
0.661,85.642,290.316,503.741,2.145
0.711,100.79,315.599,506.616,2.177
0.761,117.205,341.028,509.522,2.211
0.811,134.895,366.601,512.41,2.245
0.861,153.868,392.319,515.279,2.28
0.911,174.13,418.18,518.127,2.316
0.961,195.689,444.183,520.954,2.352
1.011,218.55,470.299,523.196,2.39
1.061,242.72,496.495,524.798,2.424
1.111,268.201,522.77,526.365,2.459
1.161,294.998,549.123,527.897,2.494
1.211,323.115,575.552,529.388,2.532
1.261,352.554,602.051,530.782,2.572
1.311,383.321,628.618,532.116,2.615
1.361,415.417,655.251,533.408,2.66
1.411,448.847,681.947,534.655,2.708
1.461,483.613,708.704,535.856,2.759
1.511,519.718,735.52,537.004,2.812
1.561,557.165,762.377,537.797,2.867
1.611,595.956,789.262,538.323,2.924
1.661,636.091,816.172,538.786,2.978
1.711,677.573,843.103,539.182,3.033
1.761,720.402,870.051,539.504,3.091
1.811,764.578,897.014,539.742,3.151
1.861,810.103,923.987,539.885,3.215
1.911,856.977,950.962,539.889,3.28
1.961,905.198,977.914,539.325,3.348
2.011,954.767,1004.833,538.877,3.415
2.061,1005.681,1031.735,538.566,3.483
2.111,1057.939,1058.62,538.141,3.557
2.161,1111.542,1085.48,537.635,3.639
2.211,1166.486,1112.316,537.215,3.728
2.261,1222.772,1139.125,536.665,3.825
2.311,1280.398,1165.904,536.11,3.926
2.361,1339.362,1192.656,535.595,4.032
2.411,1399.662,1219.382,535.04,4.143
2.461,1461.298,1246.037,533.596,4.259
2.511,1524.261,1272.524,530.222,4.377
2.561,1588.545,1298.837,526.737,4.491
2.611,1654.14,1324.975,523.246,4.603
2.661,1721.038,1350.933,519.604,4.713
2.711,1789.228,1376.679,515.348,4.817
2.761,1858.7,1402.207,510.97,4.911
2.811,1929.443,1427.514,506.564,4.999
2.861,2001.446,1452.599,502.124,5.077
2.911,2074.697,1477.461,497.651,5.142
2.961,2149.186,1502.098,493.15,5.194
3.011,2224.901,1526.508,488.615,5.233
3.061,2301.83,1550.686,483.944,5.252
3.111,2379.963,1574.626,479.201,5.252
3.161,2459.287,1598.329,474.44,5.231
3.211,2539.79,1621.791,469.661,5.182
3.261,2621.46,1645.014,464.864,5.115
3.311,2704.285,1667.996,460.051,5.05
3.361,2788.252,1690.716,454.746,4.978
3.411,2873.349,1713.141,448.831,4.904
3.461,2959.559,1735.267,442.889,4.827
3.511,3046.868,1757.097,436.969,4.767
3.561,3135.261,1778.629,431.039,4.71
3.611,3224.723,1799.864,425.093,4.651
3.661,3315.239,1820.791,418.893,4.588
3.711,3406.794,1841.398,412.485,4.524
3.761,3499.37,1861.684,406.059,4.474
3.811,3592.954,1881.647,399.618,4.426
3.861,3687.527,1901.286,393.142,4.377
3.911,3783.075,1920.661,387.838,4.326
3.961,3879.587,1939.829,383.68,4.273
4.011,3977.043,1958.396,371.664,4.226
4.061,4075.397,1975.786,348.071,4.189
4.111,4174.582,1991.59,316.286,4.154
4.161,4274.495,2004.961,267.639,4.126
4.211,4375.004,2015.394,208.756,4.101
4.261,4475.952,2022.535,142.973,4.088
4.311,4577.174,2026.324,75.92,4.084
4.361,4678.493,2026.476,3.279,4.089
4.411,4779.732,2023.069,67.819,4.106
4.461,4880.745,2017.472,111.524,4.127
4.511,4981.446,2010.567,137.633,4.152
# Event BURNOUT occurred at t=4.519 seconds
4.519,4997.023,2009.406,149.665,4.156
4.531,5020.373,2007.649,151.07,4.162
4.548,5055.358,2005.018,150.725,4.171
4.574,5107.75,2001.082,150.209,4.184
4.613,5186.146,1995.204,149.44,4.205
4.663,5285.72,1987.756,148.476,4.23
4.713,5384.922,1980.356,147.535,4.255
4.763,5483.756,1973.002,146.603,4.28
4.813,5582.223,1965.696,145.678,4.304
4.863,5680.327,1958.435,144.761,4.328
4.913,5778.068,1951.219,143.852,4.352
4.963,5875.449,1944.049,142.95,4.375
5.013,5972.473,1936.924,142.057,4.398
5.063,6069.142,1929.844,141.171,4.424
5.113,6165.458,1922.807,140.292,4.451
5.163,6261.424,1915.814,139.422,4.478
5.213,6357.041,1908.865,138.558,4.504
5.263,6452.311,1901.958,137.702,4.53
5.313,6547.237,1895.095,136.853,4.555
5.363,6641.821,1888.273,136.012,4.58
5.413,6736.065,1881.493,135.177,4.605
5.463,6829.971,1874.755,134.35,4.629
5.513,6923.541,1868.058,133.537,4.653
5.563,7016.778,1861.401,132.743,4.677
5.613,7109.682,1854.784,131.955,4.7
5.663,7202.257,1848.206,131.174,4.723
5.713,7294.503,1841.666,130.4,4.746
5.763,7386.424,1835.166,129.632,4.768
5.813,7478.021,1828.703,128.87,4.79
5.863,7569.295,1822.279,128.115,4.812
5.913,7660.249,1815.892,127.365,4.834
5.963,7750.885,1809.542,126.622,4.86
6.013,7841.204,1803.229,125.886,4.887
6.063,7931.208,1796.953,125.155,4.912
6.113,8020.9,1790.714,124.43,4.937
6.163,8110.28,1784.51,123.711,4.962
6.213,8199.351,1778.343,122.998,4.986
6.263,8288.115,1772.21,122.291,5.011
6.313,8376.573,1766.113,121.59,5.034
6.363,8464.727,1760.051,120.894,5.058
6.413,8552.579,1754.024,120.209,5.081
6.463,8640.13,1748.03,119.541,5.104
6.513,8727.382,1742.07,118.878,5.126
6.563,8814.338,1736.142,118.221,5.148
6.613,8900.997,1730.248,117.569,5.17
6.663,8987.363,1724.385,116.922,5.191
6.713,9073.436,1718.555,116.28,5.212
6.763,9159.219,1712.757,115.644,5.233
6.813,9244.712,1706.991,115.012,5.254
6.863,9329.918,1701.256,114.385,5.274
6.913,9414.839,1695.552,113.758,5.298
6.963,9499.474,1689.88,113.133,5.323
7.013,9583.827,1684.239,112.512,5.348
7.063,9667.899,1678.629,111.897,5.373
7.113,9751.691,1673.049,111.286,5.397
7.163,9835.204,1667.5,110.681,5.421
7.213,9918.441,1661.981,110.08,5.445
7.263,1e4,1656.492,109.485,5.468
7.313,1.008e4,1651.033,108.894,5.491
7.363,1.017e4,1645.603,108.308,5.514
7.413,1.025e4,1640.201,107.74,5.536
7.463,1.033e4,1634.829,107.177,5.558
7.513,1.041e4,1629.484,106.619,5.579
7.563,1.049e4,1624.167,106.064,5.601
7.613,1.057e4,1618.877,105.515,5.622
7.663,1.066e4,1613.615,104.969,5.642
7.713,1.074e4,1608.38,104.428,5.663
7.763,1.082e4,1603.172,103.891,5.683
7.813,1.09e4,1597.991,103.359,5.703
7.863,1.098e4,1592.836,102.83,5.722
7.913,1.106e4,1587.708,102.306,5.742
7.963,1.113e4,1582.606,101.786,5.761
8.013,1.121e4,1577.529,101.27,5.782
8.063,1.129e4,1572.479,100.759,5.801
8.113,1.137e4,1567.453,100.251,5.82
8.163,1.145e4,1562.454,99.747,5.837
8.213,1.153e4,1557.479,99.247,5.853
8.263,1.161e4,1552.529,98.751,5.867
8.313,1.168e4,1547.604,98.259,5.881
8.363,1.176e4,1542.703,97.771,5.893
8.413,1.184e4,1537.826,97.291,5.905
8.463,1.191e4,1532.974,96.821,5.915
8.513,1.199e4,1528.144,96.355,5.925
8.563,1.207e4,1523.338,95.893,5.934
8.613,1.214e4,1518.555,95.434,5.942
8.663,1.222e4,1513.795,94.978,5.949
8.713,1.229e4,1509.057,94.526,5.955
8.763,1.237e4,1504.342,94.078,5.96
8.813,1.244e4,1499.649,93.633,5.965
8.863,1.252e4,1494.979,93.191,5.969
8.913,1.259e4,1490.33,92.752,5.973
8.963,1.267e4,1485.704,92.317,5.976
9.013,1.274e4,1481.098,91.886,5.978
9.063,1.282e4,1476.515,91.457,5.98
9.113,1.289e4,1471.953,91.032,5.981
9.163,1.296e4,1467.412,90.61,5.981
9.213,1.304e4,1462.892,90.18,5.981
9.263,1.311e4,1458.394,89.752,5.981
9.313,1.318e4,1453.917,89.327,5.98
9.363,1.326e4,1449.461,88.905,5.979
9.413,1.333e4,1445.026,88.487,5.977
9.463,1.34e4,1440.612,88.072,5.975
9.513,1.347e4,1436.219,87.663,5.972
9.563,1.354e4,1431.846,87.264,5.969
9.613,1.361e4,1427.493,86.867,5.966
9.663,1.369e4,1423.159,86.474,5.962
9.713,1.376e4,1418.845,86.084,5.958
9.763,1.383e4,1414.551,85.697,5.953
9.813,1.39e4,1410.275,85.313,5.948
9.863,1.397e4,1406.019,84.932,5.943
9.913,1.404e4,1401.782,84.554,5.938
9.963,1.411e4,1397.564,84.179,5.932
10.013,1.418e4,1393.364,83.806,5.926
10.063,1.425e4,1389.183,83.437,5.92
10.113,1.432e4,1385.021,83.07,5.913
10.163,1.439e4,1380.876,82.706,5.906
10.213,1.446e4,1376.75,82.345,5.899
10.263,1.452e4,1372.642,81.987,5.892
10.313,1.459e4,1368.551,81.631,5.885
10.363,1.466e4,1364.478,81.279,5.877
10.413,1.473e4,1360.423,80.929,5.869
10.463,1.48e4,1356.386,80.581,5.861
10.513,1.487e4,1352.365,80.236,5.853
10.563,1.493e4,1348.362,79.894,5.844
