# IREC_30K_N3300_0_wind (Up to date)
# 1543 data points written for 5 variables.
# Simulation warnings:
#   Body calculations may not be entirely accurate at supersonic speeds.
#   Recovery device deployment at high speed (87.4 ft/s)
#
# Time (s),Altitude (ft),Vertical velocity (ft/s),Total acceleration (ft/s²),Stability margin calibers (​)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,-0.002,-0.313,31.339,NaN
0.02,-0.001,-0.298,29.763,NaN
0.03,-0.001,-0.282,28.188,NaN
0.04,-9.54e-4,-0.191,19.079,NaN
0.05,0.003,0.597,59.741,NaN
0.06,0.017,2.153,155.575,NaN
0.07,0.051,4.667,251.473,NaN
# Event LIFTOFF occurred at t=0.08 seconds
0.08,0.115,8.127,346.084,NaN
0.09,0.216,12.078,395.262,NaN
0.1,0.358,16.3,422.351,NaN
0.11,0.543,20.793,449.481,NaN
0.12,0.775,25.557,476.65,NaN
0.13,1.055,30.552,499.713,NaN
0.14,1.386,35.528,497.792,NaN
0.15,1.766,40.443,491.69,NaN
0.16,2.194,45.298,485.726,NaN
0.17,2.671,50.118,482.19,NaN
0.18,3.197,54.91,479.494,NaN
0.19,3.77,59.676,476.792,NaN
0.2,4.39,64.415,474.084,NaN
0.21,5.058,69.145,473.132,NaN
0.22,5.773,73.882,473.942,NaN
0.23,6.535,78.627,474.751,NaN
0.24,7.346,83.381,475.56,NaN
0.25,8.203,88.143,476.369,NaN
0.26,9.108,92.913,477.178,NaN
0.27,10.061,97.691,477.987,NaN
0.28,11.062,102.476,478.795,NaN
0.29,12.111,107.271,479.604,NaN
0.3,13.208,112.073,480.412,NaN
0.31,14.352,116.883,481.22,NaN
0.32,15.545,121.701,482.027,NaN
0.33,16.787,126.528,482.835,NaN
# Event LAUNCHROD occurred at t=0.34 seconds
0.34,18.076,131.362,483.642,NaN
0.355,20.101,138.629,484.748,2.007
0.378,23.343,149.562,486.405,2.018
0.411,28.669,166.039,488.886,2.034
0.461,37.584,190.595,492.12,2.059
0.511,47.731,215.296,494.969,2.084
0.561,59.116,240.138,497.789,2.111
0.611,71.747,265.12,500.589,2.138
0.661,85.631,290.242,503.366,2.165
0.711,100.774,315.505,506.172,2.194
0.761,117.184,340.91,509.002,2.224
0.811,134.868,366.456,511.806,2.255
0.861,153.833,392.141,514.585,2.286
0.911,174.085,417.965,517.336,2.319
0.961,195.632,443.926,520.058,2.352
1.011,218.48,469.994,522.187,2.386
1.061,242.632,496.136,523.669,2.422
1.111,268.094,522.352,525.108,2.458
1.161,294.869,548.639,526.505,2.495
1.211,322.959,574.995,527.852,2.534
