# Simulation 4 (Up to date)
# 1469 data points written for 6 variables.
# Simulation warnings:
#   Body calculations may not be entirely accurate at supersonic speeds.
#   Recovery device deployment at high speed (108 ft/s)
#
# Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (ft/s²),Lateral distance (ft),Stability margin calibers (​)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,-0.002,-0.313,-31.328,0,NaN
0.02,-0.001,-0.297,-29.73,0,NaN
0.03,-0.001,-0.281,-28.133,0,NaN
0.04,-9.449e-4,-0.189,-18.895,0,NaN
0.05,0.003,0.61,61.034,0,NaN
0.06,0.017,2.192,158.218,0,NaN
0.07,0.052,4.746,255.467,0,NaN
# Event LIFTOFF occurred at t=0.08 seconds
0.08,0.117,8.259,351.413,0,NaN
0.09,0.219,12.271,401.288,0,NaN
0.1,0.364,16.557,428.764,0,NaN
0.11,0.552,21.117,456.281,0,NaN
0.12,0.787,25.954,483.84,0,NaN
0.13,1.072,31.024,507.234,0,NaN
0.14,1.408,36.075,505.292,0,NaN
0.15,1.793,41.063,499.108,0,NaN
0.16,2.229,45.992,493.064,0,NaN
0.17,2.713,50.885,489.483,0,NaN
0.18,3.246,55.75,486.753,0,NaN
0.19,3.828,60.588,484.016,0,NaN
0.2,4.458,65.399,481.274,0,NaN
0.21,5.136,70.2,480.311,0,NaN
0.22,5.862,75.009,481.135,0,NaN
0.23,6.636,79.827,481.959,0,NaN
0.24,7.458,84.653,482.783,0,NaN
0.25,8.329,89.487,483.606,0,NaN
0.26,9.248,94.329,484.428,0,NaN
0.27,10.216,99.179,485.251,0,NaN
0.28,11.232,104.038,486.072,0,NaN
0.29,12.296,108.905,486.894,0,NaN
0.3,13.41,113.78,487.714,0,NaN
0.31,14.572,118.664,488.535,0,NaN
0.32,15.783,123.555,489.355,0,NaN
# Event LAUNCHROD occurred at t=0.33 seconds
0.33,17.043,128.455,490.174,0,NaN
0.345,19.025,135.82,491.297,1.886e-6,2.078
0.368,22.206,146.901,492.978,1.212e-5,2.092
0.401,27.445,163.6,495.493,4.549e-5,2.115
0.451,36.247,188.497,498.953,1.393e-4,2.15
0.501,46.298,213.543,501.886,2.928e-4,2.186
0.551,57.604,238.732,504.733,5.137e-4,2.225
0.601,70.174,264.063,507.553,8.096e-4,2.265
0.651,84.013,289.534,510.344,0.001,2.308
0.701,99.13,315.145,513.142,0.002,2.352
0.751,115.531,340.899,515.971,0.002,2.398
0.801,133.223,366.793,518.772,0.003,2.447
0.851,152.213,392.827,521.541,0.004,2.498
0.901,172.508,418.999,524.274,0.005,2.551
0.951,194.115,445.306,526.972,0.006,2.606
1.001,217.041,471.729,529.272,0.007,2.663
1.051,241.29,498.227,530.727,0.008,2.723
1.101,266.865,524.794,532.105,0.01,2.786
1.151,293.77,551.429,533.433,0.011,2.851
1.201,322.009,578.129,534.708,0.013,2.918
1.251,351.584,604.889,535.881,0.016,2.99
1.301,382.498,631.705,536.965,0.018,3.065
1.351,414.755,658.573,537.993,0.021,3.145
1.401,448.356,685.491,538.962,0.024,3.227
1.451,483.305,712.457,539.871,0.027,3.314
1.501,519.603,739.466,540.718,0.031,3.404
1.551,557.252,766.505,541.287,0.036,3.498
1.601,596.253,793.556,541.481,0.04,3.597
