# Simulation 4 (Up to date),,,,,,,
# 1554 data points written for 6 variables.,,,,,,,
# Simulation warnings:,,,,,,,
#   Body calculations may not be entirely accurate at supersonic speeds.,,,,,,,
#   Recovery device deployment at high speed (85.6 ft/s),,,,,,,
#,,,,,,,
# Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (ft/s²),Lateral distance (ft),Stability margin calibers (​),,
# Event IGNITION occurred at t=0 seconds,,,,,,,
# Event LAUNCH occurred at t=0 seconds,,,,,,,
0.01,-0.002,-0.313,-31.319,0,NaN,,
0.02,-0.001,-0.297,-29.704,0,NaN,,
0.03,-0.001,-0.281,-28.089,0,NaN,,
0.04,-9.38E-04,-0.188,-18.752,0,NaN,,
0.05,0.003,0.62,62.045,0,NaN,,
0.06,0.017,2.223,160.284,0,NaN,,
0.07,0.052,4.808,258.59,0,NaN,,
# Event LIFTOFF occurred at t=0.08 seconds,,,,,,,
0.08,0.118,8.363,355.58,0,NaN,,
0.09,0.222,12.421,406,0,NaN,,
0.1,0.368,16.757,433.779,0,NaN,,
0.11,0.559,21.371,461.599,0,NaN,,
0.12,0.797,26.264,489.462,0,NaN,,
0.13,1.085,31.393,513.116,0,NaN,,
0.14,1.425,36.502,511.158,0,NaN,,
0.15,1.815,41.549,504.912,0,NaN,,
0.16,2.255,46.535,498.807,0,NaN,,
0.17,2.745,51.485,495.192,0,NaN,,
0.18,3.285,56.407,492.437,0,NaN,,
0.19,3.873,61.301,489.676,0,NaN,,
0.2,4.511,66.168,486.909,0,NaN,,
0.21,5.197,71.026,485.941,0,NaN,,
0.22,5.931,75.891,486.78,0,NaN,,
0.23,6.715,80.766,487.618,0,NaN,,
0.24,7.547,85.648,488.457,0,NaN,,
0.25,8.428,90.539,489.295,0,NaN,,
0.26,9.358,95.438,490.133,0,NaN,,
0.27,10.336,100.346,490.97,0,NaN,,
0.28,11.364,105.262,491.807,0,NaN,,
0.29,12.442,110.186,492.644,0,NaN,,
0.3,13.568,115.119,493.481,0,NaN,,
0.31,14.744,120.06,494.317,0,NaN,,
0.32,15.969,125.01,495.153,0,NaN,,
# Event LAUNCHROD occurred at t=0.33 seconds,,,,,,,
0.33,17.244,129.967,495.988,0,NaN,,
0.345,19.25,137.42,497.134,1.91E-06,2.021,,
0.368,22.468,148.633,498.85,1.23E-05,2.034,,2.021
0.401,27.769,165.531,501.417,4.60E-05,2.054,,
0.451,36.675,190.727,504.952,1.41E-04,2.085,,
0.501,46.845,216.075,507.957,2.96E-04,2.118,,
0.551,58.285,241.569,510.877,5.20E-04,2.153,,
