# Simulation 2 (Up to date)
# 880 data points written for 5 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (81.1 ft/s)
#
# Time (s),Altitude (ft),Vertical velocity (ft/s),Total acceleration (ft/s²),Stability margin calibers (​)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,-2.527e-4,-0.051,5.049,NaN
0.02,0.002,0.492,49.237,NaN
0.03,0.013,1.528,103.555,NaN
0.04,0.036,3.106,157.906,NaN
# Event LIFTOFF occurred at t=0.05 seconds
0.05,0.077,5.229,212.29,NaN
0.06,0.143,7.896,266.705,NaN
0.07,0.238,11.041,314.626,NaN
0.08,0.364,14.271,323.139,NaN
0.09,0.523,17.521,325.07,NaN
0.1,0.715,20.79,327.003,NaN
0.11,0.939,24.078,328.938,NaN
0.12,1.196,27.386,330.874,NaN
0.13,1.487,30.713,332.813,NaN
0.14,1.811,34.059,334.753,NaN
0.15,2.168,37.425,336.695,NaN
0.16,2.559,40.81,338.639,NaN
0.17,2.984,44.215,340.585,NaN
0.18,3.444,47.639,342.532,NaN
0.19,3.937,51.083,344.481,NaN
0.2,4.465,54.546,346.442,NaN
0.21,5.028,58.029,348.453,NaN
0.22,5.626,61.533,350.476,NaN
0.23,6.259,65.057,352.5,NaN
0.24,6.927,68.601,354.526,NaN
0.25,7.631,72.165,356.554,NaN
0.26,8.371,75.75,358.583,NaN
0.27,9.146,79.355,360.614,NaN
0.28,9.958,82.98,362.647,NaN
0.29,10.806,86.625,364.681,NaN
0.3,11.691,90.291,366.717,NaN
# Event LAUNCHROD occurred at t=0.31 seconds
0.31,12.612,93.978,368.755,NaN
0.325,14.063,99.544,371.366,2.625
0.348,16.398,107.99,375.801,2.706
0.381,20.26,120.9,383.196,2.865
0.431,26.796,140.563,394.238,3.04
0.481,34.332,160.858,406.612,3.187
0.531,42.891,181.553,414.61,3.325
0.581,52.495,202.605,421.77,3.449
0.631,63.16,224.006,428.766,3.587
0.681,74.903,245.735,435.329,3.711
0.731,87.741,267.789,441.87,3.863
0.781,101.688,290.112,447.297,4.008
0.831,116.758,312.672,452.085,4.164
0.881,132.96,335.448,456.499,4.233
0.931,150.305,358.345,459.009,4.201
0.981,168.797,381.348,461.226,4.187
1.031,188.441,404.436,463.022,4.188
1.081,209.242,427.581,464.259,4.214
1.131,231.2,450.771,465.215,4.272
1.181,254.314,473.809,462.132,4.363
1.231,278.575,496.622,457.531,4.483
1.281,303.968,519.109,450.831,4.621
1.331,330.469,540.922,437.156,4.77
1.381,358.042,562.023,422.761,4.77
1.431,386.652,582.38,407.67,4.753
1.481,416.26,601.962,392.06,4.77
1.531,446.828,620.768,376.473,4.836
1.581,478.32,638.878,362.498,4.937
1.631,510.699,656.307,348.897,5.049
1.681,543.933,673.054,335.281,5.128
1.731,577.988,689.131,321.938,5.1
1.781,612.829,704.535,308.546,5.116
1.831,648.426,719.319,296.102,5.175
1.881,684.747,733.516,284.293,5.286
1.931,721.763,747.129,272.44,5.357
1.981,759.445,760.167,260.821,5.321
2.031,797.765,772.627,249.23,5.348
2.081,836.693,784.505,237.564,5.441
2.131,876.201,795.796,225.885,5.551
2.181,916.258,806.498,214.208,5.515
2.231,956.838,816.671,203.701,5.523
2.281,997.658,826.29,193.788,5.6
2.331,1039.201,835.46,183.494,5.71
2.381,1081.189,844.046,171.685,5.662
2.431,1123.591,852.034,159.706,5.678
2.481,1166.375,859.311,145.459,5.758
2.531,1209.501,865.741,128.622,5.808
2.581,1252.928,871.313,111.554,5.779
2.631,1296.607,875.847,90.841,5.806
2.681,1340.485,879.286,68.885,5.886
2.731,1384.509,881.671,47.711,5.865
2.781,1428.629,883.129,29.154,5.843
2.831,1472.799,883.671,10.854,5.884
2.881,1516.976,883.422,5.16,5.927
2.931,1561.124,882.488,18.736,5.873
2.981,1605.209,880.905,31.583,5.874
3.031,1649.205,878.944,39.074,5.928
3.081,1693.095,876.669,45.391,5.908
3.131,1736.865,874.132,50.653,5.872
3.181,1780.505,871.451,53.521,5.884
3.231,1824.007,868.63,56.311,5.944
3.281,1867.363,865.638,59.699,5.888
3.331,1910.566,862.46,63.412,5.863
# Event BURNOUT occurred at t=3.356 seconds
# Event EJECTION_CHARGE occurred at t=3.356 seconds
3.356,1932.157,860.797,66.254,5.865
3.394,1964.466,858.274,66.982,5.901
3.444,2007.297,854.935,66.633,5.901
3.494,2049.96,851.613,66.308,5.856
3.544,2092.458,848.309,65.983,5.859
3.594,2134.791,845.019,65.664,5.897
3.644,2176.96,841.744,65.363,5.889
3.694,2218.966,838.483,65.081,5.835
3.744,2260.809,835.237,64.763,5.841
3.794,2302.49,832.007,64.433,5.88
3.844,2344.01,828.795,64.117,5.859
3.894,2385.37,825.598,63.818,5.831
3.944,2426.57,822.417,63.52,5.846
3.994,2467.612,819.249,63.232,5.865
4.044,2508.495,816.095,62.955,5.865
4.094,2549.221,812.955,62.683,5.836
4.144,2589.791,809.827,62.407,5.821
4.194,2630.204,806.714,62.113,5.852
4.244,2670.463,803.617,61.829,5.853
4.294,2710.566,800.533,61.553,5.82
