# Subscale 15k (Up to date)
# 1047 data points written for 6 variables.
# Simulation warnings:
#   Body calculations may not be entirely accurate at supersonic speeds.
#   Recovery device deployment at high speed (83 ft/s)
#
# Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (ft/s²),Lateral distance (ft),Stability margin calibers (​)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,0.017,3.377,337.79,0,NaN
# Event LIFTOFF occurred at t=0.02 seconds
0.02,0.086,10.459,708.764,0,NaN
0.03,0.227,17.763,730.986,0,NaN
0.04,0.443,25.501,774.41,0,NaN
0.05,0.739,33.572,807.799,0,NaN
0.06,1.116,41.875,831.008,0,NaN
0.07,1.576,50.019,814.955,0,NaN
0.08,2.114,57.608,759.513,0,NaN
0.09,2.726,64.886,728.321,0,NaN
0.1,3.411,72.096,721.608,0,NaN
0.11,4.168,79.24,714.87,0,NaN
0.12,4.995,86.316,708.109,0,NaN
0.13,5.894,93.324,701.323,0,NaN
0.14,6.862,100.281,696.137,0,NaN
0.15,7.899,107.202,692.606,0,NaN
0.16,9.005,114.088,689.061,0,NaN
0.17,10.181,120.939,685.502,0,NaN
0.18,11.424,127.754,681.928,0,NaN
0.19,12.736,134.533,678.339,0,NaN
0.2,14.115,141.276,674.735,0,NaN
0.21,15.561,148.003,673.164,0,NaN
0.22,17.075,154.735,673.663,0,NaN
# Event LAUNCHROD occurred at t=0.23 seconds
0.23,18.656,161.473,674.158,0,NaN
0.245,21.154,171.588,674.982,5.977e-6,2.446
0.268,25.185,186.782,676.202,3.826e-5,2.474
0.301,31.874,209.619,677.998,1.398e-4,2.517
0.351,43.203,243.548,680.571,3.928e-4,2.581
0.401,56.23,277.587,682.755,7.103e-4,2.649
0.451,70.962,311.732,684.832,9.72e-4,2.72
0.501,87.404,345.978,686.794,9.914e-4,2.795
0.551,105.559,380.221,686.626,5.131e-4,2.873
0.601,125.422,414.363,684.56,7.823e-4,2.954
0.651,146.991,448.397,682.328,0.003,3.036
0.701,170.262,482.492,683.469,0.007,3.117
0.751,195.244,516.802,687.734,0.013,3.204
0.801,221.946,551.324,691.892,0.022,3.296
0.851,250.38,586.051,695.935,0.033,3.394
0.901,280.555,620.977,699.855,0.047,3.501
0.951,312.482,656.096,703.643,0.063,3.616
1.001,346.169,691.401,707.287,0.081,3.738
1.051,381.618,726.61,705.27,0.102,3.859
1.101,418.82,761.485,698.466,0.123,3.987
1.151,457.762,796.206,695.269,0.145,4.124
1.201,498.437,830.809,692.812,0.167,4.27
1.251,540.843,865.422,692.88,0.191,4.42
1.301,584.981,900.094,693.969,0.217,4.576
1.351,630.853,934.814,694.815,0.245,4.743
1.401,678.463,969.571,695.38,0.275,4.922
1.451,727.808,1004.262,693.919,0.306,5.105
1.501,778.879,1038.576,686.726,0.338,5.296
1.551,831.657,1072.565,680.121,0.371,5.492
1.601,886.13,1106.36,676.161,0.406,5.684
1.651,942.287,1139.875,668.292,0.442,5.879
1.701,1000.109,1172.975,660.922,0.479,6.069
1.751,1059.567,1205.357,647.453,0.518,6.251
1.801,1120.625,1236.978,632.948,0.557,6.422
1.851,1183.25,1268.035,622.2,0.598,6.584
1.901,1247.433,1299.282,626.631,0.64,6.736
1.951,1313.152,1329.514,606.63,0.683,6.873
2.001,1380.325,1357.461,560.786,0.727,6.99
2.051,1448.843,1383.277,517.751,0.772,7.086
2.101,1518.615,1407.623,488.035,0.817,7.17
2.151,1589.567,1430.452,457.23,0.863,7.243
2.201,1661.509,1447.255,336.142,0.91,7.292
2.251,1734.092,1456.046,175.725,0.957,7.321
2.301,1806.98,1459.463,68.379,1.003,7.341
2.351,1879.96,1459.762,6.136,1.05,7.355
2.401,1952.887,1457.309,-48.753,1.096,7.364
2.451,2025.648,1453.156,-82.664,1.141,7.369
# Event BURNOUT occurred at t=2.5 seconds
2.5,2096.362,1447.913,-107.094,1.185,7.374
2.55,2168.551,1439.67,-164.195,1.229,7.37
2.6,2240.33,1431.489,-163.036,1.272,7.366
2.65,2311.701,1423.366,-161.884,1.315,7.36
2.7,2382.667,1415.3,-160.827,1.357,7.353
2.75,2453.231,1407.279,-159.992,1.398,7.345
2.8,2523.396,1399.301,-159.155,1.438,7.337
2.85,2593.162,1391.363,-158.398,1.478,7.327
2.9,2662.533,1383.459,-157.77,1.517,7.316
