Reference,Value,DKPN,Distributor,MPN,Qty,New Qty
J3,I2C,WM23663-ND,DigiKey,901471102,1,2
J4,Serial,WM23663-ND,DigiKey,901471102,1,2
J5,SPI,WM14830-ND,DigiKey,901471103,1,2
J2,POWER,WM14831-ND,DigiKey,901471104,1,2
J6,GPIO,WM14831-ND,DigiKey,901471104,1,2
BT1,Battery_Cell,36-1060-ND,DigiKey,1060,1,2
F1,500mA,F3733CT-ND,DigiKey,  1206L050/15YR,1,5
U2,AZ1117IH-5.0TRG1,AZ1117IH-5.0TRG1DICT-ND,DigiKey,  AZ1117IH-5.0TRG1,1,5
C4,1.0uF,311-3498-1-ND,DigiKey,  CC0805JKX7R9BB105,1,5
IC1,LT1001CS8#PBF,505-LT1001CS8#PBF-ND,DigiKey,  LT1001CS8#PBF,1,3
U3,MPXV7002DP,MPXV7002DP-ND,DigiKey,  MPXV7002DP,1,2
"J7,J8",Screw_Terminal_01x06,ED2744-ND,DigiKey,  OSTTE060104,2,4
HS1,Heatsink,,Sparkfun, PRT-18704,1,2
L1,6.8uH,SRN8040TA-6R8MCT-ND,DigiKey, SRN8040TA-6R8M,1,2
R12,R,,-,-,1,
U4,AP63357QZV-7,31-AP63357QZV-7CT-ND,DigiKey,AP63357QZV-7,1,5
D4,BAT165AX,1727-2752-1-ND,DigiKey,BAT165AX,1,5
C7,47pF,311-1107-1-ND,DigiKey,CC0805JRNPO9BN470,1,5
C5,470pF,311-1119-1-ND,DigiKey,CC0805JRNPO9BN471,1,5
"C3,C11,C12,C13",0.01uF,311-1857-1-ND,DigiKey,CC0805JRX7R9BB103,4,10
"C6,C14,C15,C16",0.1uF,311-1858-1-ND,DigiKey,CC0805JRX7R9BB104,4,10
"C2,C8",10uF,311-1869-1-ND,DigiKey,CC0805KKX5R8BB106,2,10
"C1,C9,C10",22uF,311-1903-1-ND,DigiKey,CC0805MKX5R8BB226,3,10
D2,CMD17-21VGD/TR8,L62505CT-ND,DigiKey,CMD17-21VGD/TR8,1,5
D1,CMD17-21VRD/TR8,L62501CT-ND,DigiKey,CMD17-21VRD/TR8,1,5
U1,DS18B20+,DS18B20+-ND,DigiKey,DS18B20+,1,5
"U6,U7,U8",MAX31850KATB+T,MAX31850KATB+TCT-ND,DigiKey,MAX31850KATB+T,3,10
R2,62,311-62.0CRCT-ND,DigiKey,RC0805FR-0762RL,1,10
R1,150,311-150CRCT-ND,DigiKey,RC0805FR-07150RL,1,10
"R4,R5",1K,311-1.00KCRCT-ND,DigiKey,RC0805FR-071KL,2,10
R11,100k,311-100KCRCT-ND,DigiKey,RC0805FR-07100KL,1,10
R8,41.2k,311-41.2KCRCT-ND,DigiKey,RC0805FR-0741K2L,1,10
"R3,R13,R14,R15",4.7k,311-4.70KCRCT-ND,DigiKey,RC0805FR-074K7L,4,15
"R6,R9",5.1K,311-5.10KCRCT-ND,DigiKey,RC0805FR-075K1L,2,10
R7,220k,311-220KARCT-ND,DigiKey,RC0805JR-07220KL,1,10
R10,300k,311-300KARCT-ND,DigiKey,RC0805JR-07300KL,1,10
D3,SPHV12-01ETG-C,F6505CT-ND,DigiKey,SPHV12-01ETG-C,1,10
R_Shunt1,0.05,541-3281-1-ND,DigiKey,WSHP2818R0500FEA,1,10
J1,XT60PW-M,,TME,XT60PW-M,1,
